cond_numeric	Condition	participant_a	participant_b	z_transformed_rank_r	pp_a_n_clusters	pp_b_n_clusters	cat_diff_log_ratio_a	cat_diff_log_ratio_b	mean_alignment_within	mean_alignment_between
-1	Baseline	CEL_baseline_115	CEL_baseline_126	0.022897195	4	4	0.2215584	0.006696422	-0.044619454	0.100074722
-1	Baseline	CEL_baseline_115	CEL_baseline_128	0.194487795	4	2	0.2215584	0.914291174	0.077290955	0.216881748
-1	Baseline	CEL_baseline_115	CEL_baseline_129	0.170799726	4	3	0.2215584	1.07280287	0.037116724	0.127027877
-1	Baseline	CEL_baseline_115	CEL_baseline_130	0.083296066	4	3	0.2215584	0.264998033	0.145303457	-0.054310762
-1	Baseline	CEL_baseline_115	CEL_baseline_131	0.110419647	4	4	0.2215584	0.227739309	0.086654905	0.045371642
-1	Baseline	CEL_baseline_115	CEL_baseline_133	-0.000669	4	2	0.2215584	-0.002317724	0.024839449	-0.045672294
-1	Baseline	CEL_baseline_115	CEL_baseline_134	-0.004933843	4	4	0.2215584	0.152119223	-0.058105392	-0.004764512
-1	Baseline	CEL_baseline_115	CEL_baseline_135	-0.022598748	4	4	0.2215584	0.376474817	-0.137762503	0.029627628
-1	Baseline	CEL_baseline_115	CEL_baseline_137	0.074674781	4	4	0.2215584	0.10045518	-0.021495675	0.211988343
-1	Baseline	CEL_baseline_115	CEL_baseline_162	0.193703792	4	2	0.2215584	0.434024199	-0.020935684	0.302078227
-1	Baseline	CEL_baseline_115	CEL_baseline_165	0.051066381	4	4	0.2215584	0.223624136	-0.045040475	0.074822787
-1	Baseline	CEL_baseline_115	CEL_baseline_166	0.027449857	4	4	0.2215584	0.146715943	0.040298378	-0.023358583
-1	Baseline	CEL_baseline_115	CEL_baseline_167	-0.112438195	4	6	0.2215584	0.073317675	-0.128630018	-0.140350716
-1	Baseline	CEL_baseline_115	CEL_baseline_168	-0.026781903	4	2	0.2215584	0.06222896	-0.019931025	-0.100680849
-1	Baseline	CEL_baseline_115	CEL_baseline_169	-0.087758482	4	2	0.2215584	0.015236417	-0.131509822	-0.070009144
-1	Baseline	CEL_baseline_115	CEL_baseline_170	-0.10823835	4	3	0.2215584	0.01280229	-0.036143648	-0.252620875
-1	Baseline	CEL_baseline_115	CEL_baseline_171	0.214266804	4	4	0.2215584	0.410811993	0.252129495	-0.106819075
-1	Baseline	CEL_baseline_115	CEL_baseline_172	0.104632118	4	4	0.2215584	0.32347555	0.065095701	0.038170342
-1	Baseline	CEL_baseline_115	CEL_baseline_173	0.029858376	4	3	0.2215584	0.07388028	0.016851412	0.032486671
-1	Baseline	CEL_baseline_115	CEL_baseline_176	0.157747047	4	7	0.2215584	0.384077036	0.345186708	-0.231330743
