"n_clusters"	"cond_numeric"	"a_dist"	"b_dist"	"ab_dist"	"log_cat_ratio"	"cat_diff"	"purity"	"n_items"	"window_height"	"window_width"	"participant"
3	0	230.5544587	368.0385701	556.2930233	0.619860407	256.9965089	1	6.5	715	1464	45
3	0	35.60966649	141.1102866	451.8165221	1.63185706	363.4565456	1	4.5	882	1680	41
2	1	163.0947432	510.4588495	587.0380402	0.555669237	250.2612439	NA	NA	741	1440	92
5	1	71.28395514	190.9884944	174.591451	0.286212012	43.45522623	0.8	5	730	1517	24
2	1	207.3208491	516.0505476	861.3000623	0.86766735	499.614364	NA	NA	668	1326	48
2	1	452.477688	404.9816656	437.7362246	0.020789906	9.0065478	0.5	8	862	1680	13
3	-1	397.920441	363.8366602	346.6247518	-0.094237772	-34.2537988	NA	NA	596	1278	74
4	1	262.875207	219.6876557	329.2194417	0.310760507	87.93801035	0.833333333	3.5	649	1366	64
3	-1	46.23872498	181.6732028	302.1862199	0.975231357	188.230256	1	7	852	1182	125
4	-1	159.8887706	285.7314764	541.6918545	0.888377361	318.881731	1	4.5	969	1920	122
2	-1	203.1745214	373.2274431	390.4491579	0.303639672	102.2481757	0.9	8	767	1258	55
3	0	243.0479775	396.6532018	724.0859918	0.817056179	404.2354022	1	5	937	1920	31
4	0	189.6888386	149.4116336	237.2456613	0.335946889	67.6954252	1	4.5	657	1366	15
2	-1	215.8481769	285.8499028	389.1618427	0.439143982	138.3128029	NA	NA	876	1821	56
2	1	164.655881	225.5797076	560.3142213	1.054894286	365.196427	1	8	979	1920	90
3	-1	58.19581031	253.1042164	318.4850885	0.715965673	162.8350751	1	6.5	666	1536	107
2	1	361.8526398	491.1547137	676.587295	0.461440491	250.0836183	NA	NA	871	1824	110
6	-1	534.7392302	534.6107287	526.2685091	-0.015847491	-8.40647035	NA	NA	754	1536	102
2	1	286.3346072	263.1192484	308.8952026	0.117224455	34.1682748	0.572727273	8	722	1536	30
3	1	51.74012098	102.2692063	76.36923351	-0.008286074	-0.63543013	0.606060606	7	648	1260	104
3	-1	334.9729418	281.0478972	459.8053756	0.400669691	151.7949561	0.8	5.5	657	1366	50
