"cond_numeric"	"pair"	"rank_r"	"z_transformed_rank_r"	"adjusted_mutual_info"	"adjusted_rand_index"	"participant_a"	"participant_b"
0	"62-31"	0.229293050153952	0.233443158419478	0.441750216721179	0.533333333333333	62	31
0	"62-15"	-0.13403964456596	-0.134851157520651	0.348423761908501	0.216666666666667	62	15
0	"67-21"	0.0966507177033493	0.0969533655645921	0.0805758436671371	0.0883977900552486	67	21
0	"67-17"	0.0805194805194805	0.0806941735637444	0.202924922859821	0.104234527687296	67	17
0	"67-16"	0.0507860560492139	0.0508297866066096	0.414620398278028	0.265734265734266	67	16
0	"67-5"	0.0984278879015721	0.098747606510099	0.449746568938509	0.377880184331797	67	5
0	"67-94"	0.182706766917293	0.184781507968534	0.283171350130928	0.264538198403649	67	94
0	"67-98"	0.360082023239918	0.376980140644645	1	1	67	98
0	"67-72"	-0.100205058099795	-0.100542481418118	0.264261846728698	0.156908665105386	67	72
0	"67-119"	0.136637047163363	0.13749702465697	0.401406725906341	0.436860068259386	67	119
0	"67-87"	0.16930963773069	0.170955841790746	0.331557340671108	0.175438596491228	67	87
0	"67-106"	0.0321941216678059	0.0322052512454091	0.496211428267723	0.466130884041332	67	106
0	"67-79"	0.202118933697881	0.20494075504185	0.650830415367382	0.533947065592635	67	79
0	"67-45"	-0.0263841421736159	-0.0263902669343382	0.346999458987311	0.370034052213394	67	45
0	"67-41"	0.114354066985646	0.114856478655422	0.6003170142718	0.645669291338583	67	41
0	"67-31"	0.169107469393614	0.170747714447652	0.448507448805031	0.524886877828054	67	31
0	"67-15"	-0.00683526999316473	-0.00683537644617368	0.279565901424498	0.223245109321059	67	15
0	"21-17"	-0.143609022556391	-0.144608664406055	0.0761727918785658	-0.0987124463519313	21	17
0	"21-16"	0.292822966507177	0.301651208505999	0.353497429775915	0.196850393700787	21	16
0	"21-5"	-0.0717703349282297	-0.0718939463958559	0.0763803777681768	-0.00531914893617021	21	5
0	"21-94"	0.0732740943267259	0.073405656883645	0.113743686973562	0.0309555854643338	21	94
0	"21-98"	0.41161995898838	0.437560081798987	0.0805758436671375	0.0883977900552486	21	98
0	"21-72"	-0.145796308954204	-0.146842730572747	-0.00442128310658143	0.0130548302872063	21	72
0	"21-119"	-0.0594668489405332	-0.0595370957100017	-0.103189351122425	-0.0688259109311741	21	119
0	"21-87"	-0.0746411483253588	-0.0747802296425744	-0.0260599493237262	-0.00392156862745098	21	87
0	"21-106"	-0.0534518113465482	-0.0535028044450015	0.0304629815136068	-0.0574098798397864	21	106
0	"21-79"	0.154477101845523	0.155723772207656	0.0970577688639592	0.137150466045273	21	79
0	"21-45"	0.17012987012987	0.171800401615402	0.0519135403245422	-0.0392422192151556	21	45
0	"21-41"	0.0857826384142174	0.0859939874697046	0.292214087655379	0.21203830369357	21	41
0	"21-31"	0.0888600283798295	0.0890950254195651	0.150548925872727	0.103260869565217	21	31
0	"21-15"	-0.0491455912508544	-0.0491852156269188	-0.000959470772601364	0.00932090545938748	21	15
0	"17-16"	-0.00348598769651401	-0.00348600181731921	0.0947727210380099	0.0495314591700134	17	16
0	"17-5"	0.307177033492823	0.31742532387251	0.283409656033327	0.171348314606742	17	5
0	"17-94"	0.128298017771702	0.129008997660321	0.1001936453345	0.118295371050698	17	94
0	"17-98"	0.126384142173616	0.127063574939508	0.202924922859821	0.104234527687296	17	98
0	"17-72"	0.0336295283663705	0.0336422146936579	0.0538266772025208	0.0144546649145861	17	72
0	"17-119"	0.026930963773069	0.0269374774089804	0.0286739084320046	0.0200445434298441	17	119
