participant,cond,distance_type,raw_dist,log_distance_type,log_dist
CEL_178-1-2,1,proto_medium,60.65538961,log_proto_medium,-1.858967856
CEL_179-0-2,0,proto_medium,559.2143505,log_proto_medium,-0.311128976
CEL_180-1-3,1,proto_medium,262.5208028,log_proto_medium,0.022746158
CEL_181-1-3,1,proto_medium,348.4521501,log_proto_medium,0.210118748
CEL_182-0-4,0,proto_medium,280.6529022,log_proto_medium,-0.36893567
CEL_183-1-2,1,proto_medium,296.7338364,log_proto_medium,-0.871463005
CEL_185-0-7,0,proto_medium,671.7590778,log_proto_medium,0.109595031
CEL_186-1-2,1,proto_medium,380.5100786,log_proto_medium,-0.475577003
CEL_187-1-2,1,proto_medium,265.73495,log_proto_medium,-0.352967061
CEL_188-0-2,0,proto_medium,491.6276766,log_proto_medium,-0.064867124
CEL_189-1-4,1,proto_medium,577.8524466,log_proto_medium,-0.03686901
CEL_190-1-2,1,proto_medium,267.084629,log_proto_medium,-1.045290597
CEL_191-0-2,0,proto_medium,213.0329687,log_proto_medium,-1.082357679
CEL_194-1-4,1,proto_medium,636.7259059,log_proto_medium,0.443832697
CEL_195-1-3,1,proto_medium,157.0813872,log_proto_medium,0.558123622
CEL_196-0-3,0,proto_medium,394.7282916,log_proto_medium,0.184932877
CEL_198-1-2,1,proto_medium,154.3884093,log_proto_medium,-1.064818908
CEL_204-0-2,0,proto_medium,172.2296091,log_proto_medium,-1.737362579
CEL_210-0-3,0,proto_medium,249.654538,log_proto_medium,-0.57641598
CEL_214-1-2,1,proto_medium,727.6227287,log_proto_medium,0.518868811
CEL_216-0-7,0,proto_medium,22.17794399,log_proto_medium,-3.441092068
CEL_220-1-2,1,proto_medium,248.6551963,log_proto_medium,-0.312621466
CEL_221-0-5,0,proto_medium,594.0059819,log_proto_medium,-0.232781696
CEL_223-0-5,0,proto_medium,201.5362259,log_proto_medium,-0.623673718
CEL_224-1-2,1,proto_medium,579.7904142,log_proto_medium,-0.293378943
CEL_226-1-3,1,proto_medium,15.79276348,log_proto_medium,-3.143850146
CEL_229-0-4,0,proto_medium,453.3341633,log_proto_medium,-0.633717221
CEL_230-0-4,0,proto_medium,39.95944572,log_proto_medium,-2.325445409
CEL_232-0-3,0,proto_medium,68.9129397,log_proto_medium,-1.861645781
CEL_233-0-3,0,proto_medium,375.5727449,log_proto_medium,-0.579901206
CEL_234-0-5,0,proto_medium,339.8771841,log_proto_medium,-0.218952255
CEL_235-0-4,0,proto_medium,552.0908442,log_proto_medium,-0.138394041
CEL_237-0-2,0,proto_medium,672.5904391,log_proto_medium,0.310145863
CEL_238-0-3,0,proto_medium,24.19937751,log_proto_medium,-3.148564921
CEL_239-0-4,0,proto_medium,436.1523626,log_proto_medium,0.293757523
CEL_240-0-2,0,proto_medium,166.1998071,log_proto_medium,-1.09102454
CEL_241-0-4,0,proto_medium,388.6946185,log_proto_medium,-0.482791146
CEL_243-0-3,0,proto_medium,573.9179103,log_proto_medium,0.470040667
CEL_244-0-2,0,proto_medium,342.0278292,log_proto_medium,-0.162137987
CEL_245-0-9,0,proto_medium,679.3638795,log_proto_medium,0.643020106
CEL_246-0-2,0,proto_medium,659.1768156,log_proto_medium,0.106367382
CEL_247-0-6,0,proto_medium,683.4318517,log_proto_medium,0.152362829
CEL_248-0-6,0,proto_medium,244.8695288,log_proto_medium,-0.19425483
CEL_249-0-5,0,proto_medium,45.74381421,log_proto_medium,-2.273412296
CEL_250-0-7,0,proto_medium,251.9145197,log_proto_medium,-0.902017025
CEL_252-0-6,0,proto_medium,541.020378,log_proto_medium,0.251920663
CEL_253-0-2,0,proto_medium,161.7815755,log_proto_medium,-1.269010305
CEL_43-1-4,1,proto_medium,510.84284,log_proto_medium,-0.095400825
CEL_baseline_113-0-5,-1,proto_medium,508.2610616,log_proto_medium,0.448081722
CEL_baseline_114-0-3,-1,proto_medium,452.493933,log_proto_medium,-0.335526562
CEL_baseline_115-0-4,-1,proto_medium,477.069033,log_proto_medium,-0.071893077
CEL_baseline_116-0-5,-1,proto_medium,732.7887025,log_proto_medium,0.534848533
CEL_baseline_118-0-5,-1,proto_medium,1059.636012,log_proto_medium,0.46041432
CEL_baseline_120-0-5,-1,proto_medium,189.3990818,log_proto_medium,-0.436783769
CEL_baseline_123-0-3,-1,proto_medium,415.6690839,log_proto_medium,0.428825227
CEL_baseline_124-0-2,-1,proto_medium,475.1795018,log_proto_medium,-0.492912977
CEL_baseline_125-0-3,-1,proto_medium,905.9616185,log_proto_medium,0.187124681
CEL_baseline_126-0-4,-1,proto_medium,617.0495309,log_proto_medium,-0.158110942
CEL_baseline_128-0-2,-1,proto_medium,88.76817089,log_proto_medium,0.163212814
CEL_baseline_129-0-3,-1,proto_medium,72.28018519,log_proto_medium,-1.749380374
CEL_baseline_130-0-3,-1,proto_medium,784.6789415,log_proto_medium,0.207756885
CEL_baseline_131-0-4,-1,proto_medium,885.7731009,log_proto_medium,0.381928206
CEL_baseline_133-0-2,-1,proto_medium,247.9885716,log_proto_medium,-0.006475466
CEL_baseline_134-0-4,-1,proto_medium,553.2224157,log_proto_medium,0.003162883
CEL_baseline_135-0-4,-1,proto_medium,223.8711778,log_proto_medium,-0.903433941
CEL_baseline_137-0-4,-1,proto_medium,742.4475134,log_proto_medium,0.421384776
CEL_baseline_162-0-2,-1,proto_medium,528.9829514,log_proto_medium,-0.541952314
CEL_baseline_165-0-4,-1,proto_medium,329.7880417,log_proto_medium,-0.723974579
CEL_baseline_166-0-4,-1,proto_medium,565.5449877,log_proto_medium,-0.002203373
CEL_baseline_167-0-6,-1,proto_medium,182.7915925,log_proto_medium,-0.047759083
CEL_baseline_168-0-2,-1,proto_medium,580.40766,log_proto_medium,-0.179780666
CEL_baseline_169-0-2,-1,proto_medium,464.8106844,log_proto_medium,-0.133568444
CEL_baseline_170-0-3,-1,proto_medium,161.1355381,log_proto_medium,-0.115651725
CEL_baseline_171-0-4,-1,proto_medium,527.9500994,log_proto_medium,0.18230965
CEL_baseline_172-0-4,-1,proto_medium,985.7627259,log_proto_medium,0.324817214
CEL_baseline_173-0-3,-1,proto_medium,137.9494748,log_proto_medium,-0.590267733
CEL_baseline_176-0-7,-1,proto_medium,335.6759602,log_proto_medium,-0.260050283
CEL_baseline_177-0-2,-1,proto_medium,233.0202656,log_proto_medium,-1.070649057
CEL_baseline_179-0-3,-1,proto_medium,432.7461254,log_proto_medium,0.064941059
CEL_baseline_181-0-2,-1,proto_medium,707.3313955,log_proto_medium,0.010648772
CEL_baseline_182-0-2,-1,proto_medium,34.71390615,log_proto_medium,-3.291305924
CEL_baseline_183-0-4,-1,proto_medium,24.22187715,log_proto_medium,-3.555424875
CEL_baseline_184-0-6,-1,proto_medium,230.7078188,log_proto_medium,-0.121754452
CEL_baseline_185-0-5,-1,proto_medium,529.0434159,log_proto_medium,0.203163149
CEL_baseline_186-0-4,-1,proto_medium,244.3030117,log_proto_medium,-0.397007397
CEL_baseline_187-0-4,-1,proto_medium,564.4758443,log_proto_medium,-0.645195823
CEL_baseline_188-0-5,-1,proto_medium,421.4732448,log_proto_medium,-0.236749748
CEL_baseline_189-0-3,-1,proto_medium,376.3529136,log_proto_medium,0.026568897
CEL_baseline_191-0-5,-1,proto_medium,287.2872096,log_proto_medium,-0.120028721
CEL_baseline_193-0-8,-1,proto_medium,743.7592419,log_proto_medium,-0.361170954
CEL_baseline_195-0-7,-1,proto_medium,89.53644323,log_proto_medium,-1.656134656
CEL_baseline_196-0-5,-1,proto_medium,215.2594476,log_proto_medium,-1.049047187
CEL_baseline_197-0-6,-1,proto_medium,58.20598194,log_proto_medium,-1.143836206
CEL_retention_101-1-2,1,proto_medium,25.64944253,log_proto_medium,-2.99618379
