"","RT","label_cond","label","second_stim","first_stim","first_stim_cat","block","third_stim","isRight","subjCode"
"158",520.76,-0.5,"noise","square_2","square_2","S",2,"circle_6",1,NA
"159",400.37,-0.5,"noise","circle_6","square_5","S",2,"square_5",1,NA
"160",455.86,-0.5,"noise","circle_2","square_3","S",2,"square_3",1,NA
"161",458.335,-0.5,"noise","square_4","square_4","S",2,"circle_6",1,NA
"162",364.875,-0.5,"noise","circle_6","square_7","S",2,"square_7",1,NA
"163",576.47,-0.5,"noise","square_2","circle_7","C",2,"circle_7",1,NA
"164",489.965,-0.5,"noise","circle_5","square_4","S",2,"square_4",1,NA
"165",512.12,-0.5,"noise","circle_2","square_2","S",2,"square_2",1,NA
"166",543.5,-0.5,"noise","circle_5","circle_5","C",3,"square_7",1,NA
"167",603.025,-0.5,"noise","square_4","square_4","S",3,"circle_6",1,NA
"168",495.22,-0.5,"noise","square_2","square_2","S",3,"circle_3",1,NA
"169",449.845,-0.5,"noise","circle_6","square_3","S",3,"square_3",1,NA
"170",473.445,-0.5,"noise","circle_3","circle_3","C",3,"square_7",1,NA
"171",502.955,-0.5,"noise","square_2","circle_6","C",3,"circle_6",1,NA
"172",613.94,-0.5,"noise","square_4","square_4","S",3,"circle_4",1,NA
"173",669.865,-0.5,"noise","square_4","square_4","S",3,"circle_5",1,NA
"174",706.415,-0.5,"noise","circle_7","square_5","S",3,"square_5",1,NA
"175",511.26,-0.5,"noise","circle_2","square_4","S",3,"square_4",1,NA
"176",665.525,-0.5,"noise","circle_5","circle_5","C",3,"square_3",1,NA
"177",540.155,-0.5,"noise","square_7","square_7","S",3,"circle_6",1,NA
"178",532.82,-0.5,"noise","square_7","square_7","S",3,"circle_4",1,NA
"179",470.06,-0.5,"noise","circle_4","square_3","S",3,"square_3",1,NA
"180",410.48,-0.5,"noise","circle_6","circle_6","C",3,"square_6",1,NA
"181",406.34,-0.5,"noise","circle_2","circle_2","C",3,"square_5",1,NA
"182",847.16,-0.5,"noise","square_4","circle_3","C",3,"circle_3",1,NA
"183",506.435,-0.5,"noise","circle_2","circle_2","C",3,"square_3",1,NA
"184",475.55,-0.5,"noise","circle_7","circle_7","C",3,"square_4",1,NA
"185",426.995,-0.5,"noise","circle_5","square_5","S",3,"square_5",1,NA
"186",598.08,-0.5,"noise","square_6","circle_2","C",3,"circle_2",1,NA
"187",485.11,-0.5,"noise","circle_4","square_6","S",3,"square_6",1,NA
"188",421.405,-0.5,"noise","circle_3","square_6","S",3,"square_6",1,NA
"189",472.915,-0.5,"noise","circle_4","square_2","S",3,"square_2",1,NA
"190",413.98,-0.5,"noise","square_5","circle_6","C",3,"circle_6",1,NA
"191",383.44,-0.5,"noise","square_6","circle_5","C",3,"circle_5",1,NA
"192",440.54,-0.5,"noise","circle_3","square_5","S",3,"square_5",1,NA
"193",471.59,-0.5,"noise","circle_7","circle_7","C",3,"square_3",1,NA
"194",433.505,-0.5,"noise","square_2","square_2","S",3,"circle_2",1,NA
"195",449.165,-0.5,"noise","circle_5","square_2","S",3,"square_2",1,NA
"196",453.61,-0.5,"noise","square_3","circle_3","C",3,"circle_3",1,NA
"197",414.03,-0.5,"noise","circle_7","square_6","S",3,"square_6",1,NA
"198",448.825,-0.5,"noise","circle_7","circle_7","C",3,"square_2",1,NA
"199",2255,-0.5,"noise","circle_5","circle_5","C",1,"square_5",1,53
"200",907,-0.5,"noise","circle_5","circle_5","C",1,"square_7",1,53
"201",1039,-0.5,"noise","square_6","square_6","S",1,"circle_2",1,53
"202",1119,-0.5,"noise","circle_7","square_7","S",1,"square_7",1,53
"203",810,-0.5,"noise","circle_4","square_6","S",1,"square_6",1,53
